Manager     : Starting ensemble at: 2026-02-01 19:41:52.545
Manager     : Exiting ensemble at: 2026-02-01 19:41:52.552 Time Taken: 0.007
Manager     : Starting ensemble at: 2026-02-01 19:43:36.837
Manager     : Exiting ensemble at: 2026-02-01 19:43:36.852 Time Taken: 0.015
Manager     : Starting ensemble at: 2026-02-01 19:52:15.909
Manager     : Exiting ensemble at: 2026-02-01 19:52:15.922 Time Taken: 0.013
Manager     : Starting ensemble at: 2026-02-01 19:56:02.775
Manager     : Exiting ensemble at: 2026-02-01 19:56:02.788 Time Taken: 0.013
Manager     : Starting ensemble at: 2026-02-01 19:57:30.510
Manager     : Gen no     1: gen Time: 0.001 Start: 2026-02-01 19:57:30.518 End: 2026-02-01 19:57:30.519 Status: Exception occurred
Manager     : Exiting ensemble at: 2026-02-01 19:57:30.533 Time Taken: 0.023
Manager     : Starting ensemble at: 2026-02-01 20:02:45.636
Worker     1: sim_id    26: sim Time: 0.000 Start: 2026-02-01 20:02:45.652 End: 2026-02-01 20:02:45.652 Status: Not set
Worker     2: sim_id    27: sim Time: 0.001 Start: 2026-02-01 20:02:45.652 End: 2026-02-01 20:02:45.653 Status: Not set
Worker     3: sim_id    28: sim Time: 0.000 Start: 2026-02-01 20:02:45.653 End: 2026-02-01 20:02:45.653 Status: Not set
Manager     : Gen no     1: gen Time: 0.014 Start: 2026-02-01 20:02:45.642 End: 2026-02-01 20:02:45.656 Status: Persis gen finished
Manager     : Exiting ensemble at: 2026-02-01 20:02:45.661 Time Taken: 0.025
Manager     : Starting ensemble at: 2026-02-01 20:05:47.650
Worker     3: sim_id    28: sim Time: 0.000 Start: 2026-02-01 20:05:47.669 End: 2026-02-01 20:05:47.669 Status: Not set
Worker     1: sim_id    26: sim Time: 0.000 Start: 2026-02-01 20:05:47.670 End: 2026-02-01 20:05:47.670 Status: Not set
Worker     2: sim_id    27: sim Time: 0.001 Start: 2026-02-01 20:05:47.669 End: 2026-02-01 20:05:47.670 Status: Not set
Manager     : Gen no     1: gen Time: 0.018 Start: 2026-02-01 20:05:47.657 End: 2026-02-01 20:05:47.675 Status: Persis gen finished
Manager     : Exiting ensemble at: 2026-02-01 20:05:47.683 Time Taken: 0.033
Manager     : Starting ensemble at: 2026-02-01 20:06:02.963
Worker     2: sim_id    27: sim Time: 0.000 Start: 2026-02-01 20:06:02.974 End: 2026-02-01 20:06:02.974 Status: Not set
Worker     1: sim_id    26: sim Time: 0.000 Start: 2026-02-01 20:06:02.975 End: 2026-02-01 20:06:02.975 Status: Not set
Worker     3: sim_id    28: sim Time: 0.001 Start: 2026-02-01 20:06:02.975 End: 2026-02-01 20:06:02.976 Status: Not set
Manager     : Gen no     1: gen Time: 0.011 Start: 2026-02-01 20:06:02.968 End: 2026-02-01 20:06:02.979 Status: Persis gen finished
Manager     : Exiting ensemble at: 2026-02-01 20:06:02.984 Time Taken: 0.021
Manager     : Starting ensemble at: 2026-02-01 20:06:28.223
Worker     1: sim_id    26: sim Time: 0.000 Start: 2026-02-01 20:06:28.236 End: 2026-02-01 20:06:28.236 Status: Not set
Worker     2: sim_id    27: sim Time: 0.000 Start: 2026-02-01 20:06:28.237 End: 2026-02-01 20:06:28.237 Status: Not set
Worker     3: sim_id    28: sim Time: 0.001 Start: 2026-02-01 20:06:28.236 End: 2026-02-01 20:06:28.237 Status: Not set
Manager     : Gen no     1: gen Time: 0.012 Start: 2026-02-01 20:06:28.228 End: 2026-02-01 20:06:28.240 Status: Persis gen finished
Manager     : Exiting ensemble at: 2026-02-01 20:06:28.245 Time Taken: 0.022
Manager     : Starting ensemble at: 2026-02-01 20:08:18.259
Worker     1: sim_id    26: sim Time: 0.000 Start: 2026-02-01 20:08:18.705 End: 2026-02-01 20:08:18.705 Status: Not set
Worker     2: sim_id    27: sim Time: 0.000 Start: 2026-02-01 20:08:18.705 End: 2026-02-01 20:08:18.705 Status: Not set
Worker     3: sim_id    28: sim Time: 0.000 Start: 2026-02-01 20:08:18.705 End: 2026-02-01 20:08:18.705 Status: Not set
Manager     : Gen no     1: gen Time: 0.797 Start: 2026-02-01 20:08:18.267 End: 2026-02-01 20:08:19.064 Status: Persis gen finished
Manager     : Exiting ensemble at: 2026-02-01 20:08:19.071 Time Taken: 0.812
Manager     : Starting ensemble at: 2026-02-01 20:08:50.563
Worker     1: sim_id    26: sim Time: 0.000 Start: 2026-02-01 20:08:51.089 End: 2026-02-01 20:08:51.089 Status: Not set
Worker     2: sim_id    27: sim Time: 0.000 Start: 2026-02-01 20:08:51.089 End: 2026-02-01 20:08:51.089 Status: Not set
Worker     3: sim_id    28: sim Time: 0.001 Start: 2026-02-01 20:08:51.089 End: 2026-02-01 20:08:51.090 Status: Not set
Worker     4: sim_id    29: sim Time: 0.000 Start: 2026-02-01 20:08:51.089 End: 2026-02-01 20:08:51.089 Status: Not set
Worker     4: sim_id    33: sim Time: 0.000 Start: 2026-02-01 20:08:51.307 End: 2026-02-01 20:08:51.307 Status: Not set
Worker     3: sim_id    32: sim Time: 0.000 Start: 2026-02-01 20:08:51.307 End: 2026-02-01 20:08:51.307 Status: Not set
Worker     1: sim_id    30: sim Time: 0.000 Start: 2026-02-01 20:08:51.307 End: 2026-02-01 20:08:51.307 Status: Not set
Worker     2: sim_id    31: sim Time: 0.000 Start: 2026-02-01 20:08:51.307 End: 2026-02-01 20:08:51.307 Status: Not set
Worker     1: sim_id    34: sim Time: 0.000 Start: 2026-02-01 20:08:51.315 End: 2026-02-01 20:08:51.315 Status: Not set
Worker     4: sim_id    37: sim Time: 0.000 Start: 2026-02-01 20:08:51.315 End: 2026-02-01 20:08:51.315 Status: Not set
Worker     2: sim_id    35: sim Time: 0.000 Start: 2026-02-01 20:08:51.316 End: 2026-02-01 20:08:51.316 Status: Not set
Worker     3: sim_id    36: sim Time: 0.000 Start: 2026-02-01 20:08:51.315 End: 2026-02-01 20:08:51.315 Status: Not set
Worker     1: sim_id    38: sim Time: 0.000 Start: 2026-02-01 20:08:51.322 End: 2026-02-01 20:08:51.322 Status: Not set
Worker     4: sim_id    41: sim Time: 0.000 Start: 2026-02-01 20:08:51.322 End: 2026-02-01 20:08:51.322 Status: Not set
Worker     2: sim_id    39: sim Time: 0.000 Start: 2026-02-01 20:08:51.323 End: 2026-02-01 20:08:51.323 Status: Not set
Worker     3: sim_id    40: sim Time: 0.000 Start: 2026-02-01 20:08:51.323 End: 2026-02-01 20:08:51.323 Status: Not set
Worker     1: sim_id    42: sim Time: 0.000 Start: 2026-02-01 20:08:51.326 End: 2026-02-01 20:08:51.326 Status: Not set
Worker     2: sim_id    43: sim Time: 0.000 Start: 2026-02-01 20:08:51.327 End: 2026-02-01 20:08:51.327 Status: Not set
Worker     1: sim_id    44: sim Time: 0.001 Start: 2026-02-01 20:08:51.330 End: 2026-02-01 20:08:51.331 Status: Not set
Worker     2: sim_id    45: sim Time: 0.000 Start: 2026-02-01 20:08:51.331 End: 2026-02-01 20:08:51.331 Status: Not set
Worker     1: sim_id    46: sim Time: 0.000 Start: 2026-02-01 20:08:51.548 End: 2026-02-01 20:08:51.548 Status: Not set
Worker     2: sim_id    47: sim Time: 0.000 Start: 2026-02-01 20:08:51.549 End: 2026-02-01 20:08:51.549 Status: Not set
Worker     2: sim_id    49: sim Time: 0.000 Start: 2026-02-01 20:08:51.554 End: 2026-02-01 20:08:51.554 Status: Not set
Worker     1: sim_id    48: sim Time: 0.000 Start: 2026-02-01 20:08:51.554 End: 2026-02-01 20:08:51.554 Status: Not set
Worker     1: sim_id    50: sim Time: 0.000 Start: 2026-02-01 20:08:51.557 End: 2026-02-01 20:08:51.557 Status: Not set
Worker     2: sim_id    51: sim Time: 0.000 Start: 2026-02-01 20:08:51.557 End: 2026-02-01 20:08:51.557 Status: Not set
Worker     1: sim_id    52: sim Time: 0.000 Start: 2026-02-01 20:08:51.559 End: 2026-02-01 20:08:51.559 Status: Not set
Worker     2: sim_id    53: sim Time: 0.000 Start: 2026-02-01 20:08:51.560 End: 2026-02-01 20:08:51.560 Status: Not set
Worker     1: sim_id    54: sim Time: 0.000 Start: 2026-02-01 20:08:51.563 End: 2026-02-01 20:08:51.563 Status: Not set
Worker     2: sim_id    55: sim Time: 0.000 Start: 2026-02-01 20:08:51.563 End: 2026-02-01 20:08:51.563 Status: Not set
